horizon,lead,lagging,lag,rho,rho_without_shock,share_of_rho_from_the_shock,survives,survives_without_shock
1d,GBPUSD,USDJPY,12,-0.059517,-0.057374,0.036,False,False
1d,USDJPY,AUDUSD,8,-0.059137,-0.059293,-0.0026,False,False
1d,USDCAD,EURJPY,4,0.05909,0.060324,-0.0209,False,False
1d,EURCHF,USDCHF,7,-0.057853,-0.00229,0.9604,False,False
1d,EURJPY,AUDJPY,8,-0.057709,-0.060602,-0.0501,False,False
1d,NZDUSD,EURJPY,12,-0.05769,-0.057847,-0.0027,False,False
1d,USDCHF,AUDUSD,5,0.056422,0.047378,0.1603,False,False
1d,USDCAD,EURGBP,3,-0.056236,-0.055074,0.0207,False,False
1d,EURJPY,AUDUSD,8,-0.05618,-0.056797,-0.011,False,False
1d,USDCHF,USDCAD,3,-0.055454,-0.029917,0.4605,False,False
1d,USDCAD,USDJPY,11,-0.055189,-0.053753,0.026,False,False
1d,GBPJPY,EURCHF,11,-0.054725,-0.057365,-0.0482,False,False
1d,USDCAD,USDJPY,4,0.053873,0.052947,0.0172,False,False
1d,GBPJPY,USDJPY,6,0.053171,0.051356,0.0341,False,False
1d,GBPUSD,EURJPY,12,-0.053116,-0.053935,-0.0154,False,False
1d,EURCHF,EURJPY,5,0.052977,0.018014,0.66,False,False
1d,USDJPY,AUDJPY,8,-0.05166,-0.053593,-0.0374,False,False
1d,NZDUSD,EURGBP,11,0.05101,0.055301,-0.0841,False,False
1d,EURJPY,USDJPY,6,0.051001,0.048551,0.048,False,False
1d,USDCHF,NZDUSD,5,0.050935,0.0444,0.1283,False,False
1d,EURCHF,NZDUSD,9,0.050317,0.018038,0.6415,False,False
1d,AUDUSD,EURJPY,11,0.050291,0.052785,-0.0496,False,False
1d,USDCHF,AUDUSD,6,0.050141,0.032573,0.3504,False,False
1d,AUDUSD,USDCHF,1,-0.049609,-0.06966,-0.4042,False,False
1d,EURCHF,USDCAD,4,-0.049511,0.01499,0.6972,False,False
1d,USDJPY,GBPUSD,10,0.049389,0.050032,-0.013,False,False
1d,EURUSD,EURJPY,10,-0.048878,-0.046935,0.0398,False,False
1d,AUDUSD,USDCHF,9,0.048726,0.035287,0.2758,False,False
1d,GBPUSD,USDJPY,6,0.048725,0.048195,0.0109,False,False
1d,EURJPY,GBPUSD,4,0.048495,0.048831,-0.0069,False,False
1d,AUDUSD,USDJPY,4,-0.048478,-0.045514,0.0611,False,False
1d,USDJPY,EURCHF,12,0.047818,0.04956,-0.0364,False,False
1d,EURCHF,USDCAD,3,-0.047628,-0.008693,0.8175,False,False
1d,AUDJPY,GBPJPY,2,0.047398,0.046662,0.0155,False,False
1d,USDCAD,EURJPY,11,-0.047048,-0.04928,-0.0474,False,False
1d,EURUSD,EURJPY,12,-0.046958,-0.046592,0.0078,False,False
1d,EURUSD,USDJPY,12,-0.046749,-0.045367,0.0296,False,False
1d,EURCHF,EURJPY,7,-0.04636,-0.030595,0.3401,False,False
1d,USDJPY,EURCHF,11,-0.046267,-0.049686,-0.0739,False,False
1d,USDCHF,EURJPY,5,0.04624,0.020285,0.5613,False,False
1d,EURGBP,AUDJPY,4,0.046122,0.044846,0.0277,False,False
1d,EURGBP,USDCHF,9,-0.046109,-0.027814,0.3968,False,False
1d,AUDJPY,GBPUSD,4,0.045627,0.046788,-0.0254,False,False
1d,EURCHF,EURJPY,11,0.045602,0.029061,0.3627,False,False
1d,GBPUSD,GBPJPY,12,-0.045519,-0.044064,0.032,False,False
1d,GBPUSD,USDCHF,1,-0.045435,-0.044427,0.0222,False,False
1d,GBPUSD,USDCHF,9,0.045351,0.020252,0.5534,False,False
1d,EURGBP,GBPJPY,11,0.04521,0.045066,0.0032,False,False
1d,EURGBP,EURJPY,1,-0.044966,-0.045374,-0.0091,False,False
1d,GBPUSD,EURUSD,6,-0.044328,-0.044296,0.0007,False,False
1d,EURCHF,USDCHF,9,-0.044318,-0.043169,0.0259,False,False
1d,EURGBP,AUDJPY,2,-0.0442,-0.043915,0.0064,False,False
1d,USDCAD,AUDJPY,2,-0.044165,-0.044155,0.0002,False,False
1d,EURJPY,GBPJPY,6,0.043854,0.041014,0.0648,False,False
1d,USDJPY,AUDJPY,12,0.043846,0.04289,0.0218,False,False
1d,GBPUSD,USDCAD,6,0.043815,0.044268,-0.0103,False,False
1d,EURUSD,EURJPY,11,0.043777,0.040516,0.0745,False,False
1d,NZDUSD,GBPUSD,11,-0.043367,-0.043531,-0.0038,False,False
1d,EURGBP,GBPJPY,1,-0.043185,-0.042951,0.0054,False,False
1d,USDJPY,EURJPY,11,-0.042779,-0.041986,0.0185,False,False
1d,EURGBP,EURJPY,2,-0.042723,-0.043414,-0.0162,False,False
1d,EURUSD,USDJPY,6,0.042305,0.041301,0.0237,False,False
1d,NZDUSD,USDJPY,12,-0.041918,-0.041576,0.0082,False,False
1d,AUDUSD,USDJPY,11,0.041781,0.041881,-0.0024,False,False
1d,NZDUSD,USDJPY,11,0.041758,0.043165,-0.0337,False,False
1d,AUDJPY,GBPUSD,11,-0.041421,-0.040506,0.0221,False,False
1d,EURCHF,EURUSD,7,-0.041024,-0.043073,-0.0499,False,False
1d,AUDJPY,GBPJPY,6,0.040852,0.039962,0.0218,False,False
1d,USDCHF,USDJPY,4,0.040846,0.031829,0.2208,False,False
1d,USDCAD,GBPUSD,8,-0.040612,-0.039549,0.0262,False,False
1d,GBPJPY,GBPUSD,11,-0.040521,-0.039885,0.0157,False,False
1d,EURCHF,EURJPY,10,-0.040342,-0.021785,0.46,False,False
1d,EURCHF,EURUSD,9,0.040232,0.027457,0.3175,False,False
1d,AUDJPY,EURUSD,3,0.040108,0.038362,0.0435,False,False
1d,NZDUSD,AUDJPY,1,-0.040097,-0.042141,-0.051,False,False
1d,NZDUSD,EURJPY,11,0.039821,0.044504,-0.1176,False,False
1d,EURGBP,GBPJPY,2,-0.039655,-0.039813,-0.004,False,False
1d,EURUSD,AUDJPY,1,-0.039581,-0.038081,0.0379,False,False
1d,EURGBP,GBPJPY,4,0.039499,0.039171,0.0083,False,False
1d,EURCHF,EURUSD,11,0.039416,0.041029,-0.0409,False,False
1d,USDJPY,GBPJPY,4,0.039353,0.037842,0.0384,False,False
1d,EURUSD,AUDJPY,7,-0.03901,-0.038701,0.0079,False,False
1d,EURJPY,GBPUSD,10,0.038986,0.039006,-0.0005,False,False
1d,EURCHF,GBPUSD,5,0.038836,0.024693,0.3642,False,False
1d,EURGBP,EURJPY,10,-0.038754,-0.040615,-0.048,False,False
1d,EURCHF,EURJPY,6,0.038681,-0.019669,0.4915,False,False
1d,USDJPY,AUDJPY,6,0.038633,0.034294,0.1123,False,False
1d,EURGBP,USDJPY,9,-0.038552,-0.037169,0.0359,False,False
1d,USDCAD,GBPUSD,11,0.038521,0.038132,0.0101,False,False
1d,AUDUSD,EURUSD,9,-0.038414,-0.037297,0.0291,False,False
1d,GBPUSD,AUDJPY,12,-0.038295,-0.038252,0.0011,False,False
1d,USDJPY,EURJPY,12,0.038161,0.037277,0.0232,False,False
1d,USDCAD,GBPJPY,2,-0.038123,-0.038562,-0.0115,False,False
1d,USDCAD,USDJPY,1,0.038114,0.037813,0.0079,False,False
1d,GBPUSD,USDJPY,4,-0.038076,-0.038147,-0.0019,False,False
1d,USDCHF,EURJPY,6,0.037987,-0.003204,0.9157,False,False
1d,AUDJPY,EURUSD,1,0.037919,0.036613,0.0344,False,False
1d,NZDUSD,GBPUSD,7,-0.037818,-0.038601,-0.0207,False,False
1d,GBPUSD,AUDJPY,2,0.037723,0.037229,0.0131,False,False
1d,AUDJPY,USDJPY,3,-0.037542,-0.037206,0.0089,False,False
1d,EURUSD,USDJPY,11,0.037497,0.036278,0.0325,False,False
1d,EURCHF,USDJPY,5,-0.037486,-0.028424,0.2417,False,False
1d,EURJPY,GBPJPY,4,0.037376,0.035523,0.0496,False,False
1d,NZDUSD,USDJPY,4,-0.037277,-0.033911,0.0903,False,False
1d,USDCHF,GBPUSD,5,0.037198,0.024198,0.3495,False,False
1d,EURJPY,AUDJPY,7,-0.037192,-0.036678,0.0138,False,False
1d,USDCAD,USDJPY,12,0.03718,0.034993,0.0588,False,False
1d,EURJPY,GBPJPY,3,-0.036944,-0.033633,0.0896,False,False
1d,USDCAD,GBPJPY,4,0.036781,0.036555,0.0061,False,False
1d,NZDUSD,USDJPY,6,0.036745,0.039128,-0.0649,False,False
1d,GBPJPY,GBPUSD,1,0.036487,0.036554,-0.0018,False,False
1d,EURJPY,USDJPY,1,-0.036325,-0.033377,0.0812,False,False
1d,EURGBP,USDJPY,1,-0.036109,-0.035105,0.0278,False,False
1d,GBPUSD,AUDJPY,7,-0.03605,-0.035246,0.0223,False,False
1d,EURJPY,AUDJPY,3,-0.036047,-0.033385,0.0738,False,False
1d,AUDUSD,EURUSD,1,0.035935,0.03621,-0.0077,False,False
1d,EURCHF,GBPJPY,7,-0.035888,-0.015109,0.579,False,False
1d,NZDUSD,EURJPY,4,-0.035126,-0.034467,0.0188,False,False
1d,GBPUSD,AUDJPY,9,0.035075,0.03555,-0.0135,False,False
1d,AUDUSD,GBPJPY,2,0.034981,0.035882,-0.0258,False,False
1d,EURUSD,AUDJPY,12,-0.034825,-0.035974,-0.033,False,False
1d,USDCAD,EURJPY,12,0.034539,0.035788,-0.0362,False,False
1d,AUDUSD,AUDJPY,1,-0.034504,-0.03567,-0.0338,False,False
1d,NZDUSD,GBPJPY,4,-0.03448,-0.032257,0.0645,False,False
1d,AUDUSD,EURJPY,4,-0.03442,-0.03119,0.0938,False,False
1d,EURGBP,EURJPY,11,0.034398,0.032589,0.0526,False,False
1d,EURUSD,GBPJPY,12,-0.03433,-0.033842,0.0142,False,False
1d,USDCAD,GBPJPY,12,0.034294,0.032427,0.0544,False,False
1d,EURGBP,EURUSD,10,-0.034251,-0.033817,0.0127,False,False
1d,USDJPY,GBPJPY,11,-0.03417,-0.032355,0.0531,False,False
1d,USDJPY,GBPJPY,6,0.034097,0.03161,0.0729,False,False
1d,GBPUSD,GBPJPY,4,-0.033962,-0.034201,-0.007,False,False
1d,NZDUSD,GBPUSD,12,-0.033758,-0.033077,0.0202,False,False
1d,EURGBP,AUDJPY,1,-0.033378,-0.032287,0.0327,False,False
1d,GBPJPY,AUDJPY,7,-0.033332,-0.032393,0.0282,False,False
1d,EURJPY,AUDJPY,6,0.033257,0.026913,0.1908,False,False
1d,EURCHF,EURJPY,12,-0.033244,-0.031069,0.0654,False,False
1d,AUDJPY,USDJPY,6,0.03319,0.03278,0.0124,False,False
1d,GBPJPY,AUDJPY,2,0.032871,0.032079,0.0241,False,False
1d,GBPUSD,AUDJPY,5,-0.03283,-0.033515,-0.0209,False,False
1d,EURCHF,GBPUSD,9,0.032779,0.036968,-0.1278,False,False
1d,USDCHF,EURUSD,9,0.032619,0.018768,0.4246,False,False
1d,EURJPY,EURUSD,6,-0.032612,-0.037109,-0.1379,False,False
1d,AUDUSD,GBPUSD,7,-0.032577,-0.03351,-0.0286,False,False
1d,NZDUSD,EURUSD,6,-0.032548,-0.030523,0.0622,False,False
1d,AUDJPY,USDJPY,2,0.032457,0.032204,0.0078,False,False
1d,AUDUSD,USDJPY,2,0.032252,0.03297,-0.0223,False,False
1d,EURCHF,GBPUSD,7,-0.032198,-0.024554,0.2374,False,False
1d,USDCHF,EURJPY,9,0.031948,0.01641,0.4864,False,False
1d,USDCHF,AUDJPY,6,0.031681,-0.001926,0.9392,False,False
1d,EURCHF,AUDJPY,6,0.031547,-0.015557,0.5069,False,False
1d,GBPUSD,EURJPY,4,-0.031487,-0.031069,0.0133,False,False
1d,EURJPY,GBPUSD,1,0.031477,0.031051,0.0135,False,False
1d,GBPUSD,EURUSD,7,-0.03106,-0.031334,-0.0088,False,False
1d,EURUSD,USDJPY,1,-0.030847,-0.028582,0.0734,False,False
1d,GBPJPY,EURJPY,6,0.03055,0.027856,0.0882,False,False
1d,AUDUSD,GBPUSD,11,-0.030081,-0.030786,-0.0234,False,False
1d,GBPJPY,EURJPY,2,0.029985,0.029161,0.0275,False,False
1d,USDCHF,AUDJPY,5,0.029807,0.032014,-0.074,False,False
1d,EURGBP,GBPUSD,4,0.029471,0.028901,0.0193,False,False
1d,EURCHF,AUDJPY,4,0.029343,0.000446,0.9848,False,False
1d,EURGBP,AUDJPY,9,-0.029266,-0.030571,-0.0446,False,False
1d,NZDUSD,AUDJPY,12,-0.028907,-0.029611,-0.0244,False,False
1d,NZDUSD,GBPUSD,8,0.0288,0.0271,0.059,False,False
1d,AUDJPY,GBPUSD,1,0.028625,0.028813,-0.0066,False,False
1d,AUDJPY,USDJPY,1,-0.028592,-0.029367,-0.0271,False,False
1d,USDJPY,GBPUSD,4,0.02849,0.029382,-0.0313,False,False
1d,EURGBP,USDJPY,2,-0.02839,-0.027942,0.0158,False,False
1d,GBPJPY,GBPUSD,10,0.028312,0.028406,-0.0033,False,False
1d,USDCAD,USDJPY,2,-0.028274,-0.028637,-0.0128,False,False
1d,GBPJPY,EURJPY,11,-0.028239,-0.02865,-0.0146,False,False
1d,AUDUSD,EURJPY,10,-0.028028,-0.024769,0.1163,False,False
1d,EURGBP,USDJPY,11,0.028025,0.027819,0.0074,False,False
1d,NZDUSD,EURJPY,2,0.027614,0.02677,0.0306,False,False
1d,USDCAD,EURUSD,10,-0.027588,-0.025152,0.0883,False,False
1d,EURCHF,EURJPY,9,0.027363,0.006209,0.7731,False,False
1d,EURUSD,USDJPY,4,-0.027322,-0.027259,0.0023,False,False
1d,USDJPY,EURJPY,6,0.027303,0.024293,0.1102,False,False
1d,AUDJPY,USDJPY,4,-0.027283,-0.026944,0.0124,False,False
