horizon,lead,lagging,lag,rho,edge_bp,cost_bp_at_1.5x,pays,qualifies
1d,USDCAD,USDJPY,11,-0.055189,3.09837,1.13462,True,False
1d,GBPJPY,EURCHF,11,-0.054725,2.72335,2.29257,True,False
1d,USDCAD,USDJPY,4,0.053873,3.02451,1.13462,True,False
1d,GBPJPY,USDJPY,6,0.053171,2.98507,1.13462,True,False
1d,GBPUSD,EURJPY,12,-0.053116,3.013,1.46256,True,False
1d,EURCHF,EURJPY,5,0.052977,3.00512,1.46256,True,False
1d,USDJPY,AUDJPY,8,-0.05166,3.72341,2.06765,True,False
1d,NZDUSD,EURGBP,11,0.05101,2.4408,2.35259,True,False
1d,EURJPY,USDJPY,6,0.051001,2.86325,1.13462,True,False
1d,USDCHF,NZDUSD,5,0.050935,3.34765,3.49234,False,False
1d,EURCHF,NZDUSD,9,0.050317,3.30704,3.49234,False,False
1d,AUDUSD,EURJPY,11,0.050291,2.85276,1.46256,True,False
1d,USDCHF,AUDUSD,6,0.050141,3.18869,2.96589,True,False
1d,AUDUSD,USDCHF,1,-0.049609,2.94035,2.37564,True,False
1d,EURCHF,USDCAD,4,-0.049511,2.24609,1.91662,True,False
1d,USDJPY,GBPUSD,10,0.049389,2.88422,1.64909,True,False
1d,EURUSD,EURJPY,10,-0.048878,2.77257,1.46256,True,False
1d,AUDUSD,USDCHF,9,0.048726,2.888,2.37564,True,False
1d,GBPUSD,USDJPY,6,0.048725,2.73548,1.13462,True,False
1d,EURJPY,GBPUSD,4,0.048495,2.83199,1.64909,True,False
1d,AUDUSD,USDJPY,4,-0.048478,2.72159,1.13462,True,False
1d,USDJPY,EURCHF,12,0.047818,2.37961,2.29257,True,False
1d,EURCHF,USDCAD,3,-0.047628,2.16062,1.91662,True,False
1d,AUDJPY,GBPJPY,2,0.047398,3.28998,2.32688,True,False
1d,USDCAD,EURJPY,11,-0.047048,2.66876,1.46256,True,False
1d,EURUSD,EURJPY,12,-0.046958,2.6637,1.46256,True,False
1d,EURUSD,USDJPY,12,-0.046749,2.62451,1.13462,True,False
1d,EURCHF,EURJPY,7,-0.04636,2.62977,1.46256,True,False
1d,USDJPY,EURCHF,11,-0.046267,2.30246,2.29257,True,False
1d,USDCHF,EURJPY,5,0.04624,2.62297,1.46256,True,False
1d,EURGBP,AUDJPY,4,0.046122,3.32423,2.06765,True,False
1d,EURGBP,USDCHF,9,-0.046109,2.7329,2.37564,True,False
1d,AUDJPY,GBPUSD,4,0.045627,2.66455,1.64909,True,False
1d,EURCHF,EURJPY,11,0.045602,2.58676,1.46256,True,False
1d,GBPUSD,GBPJPY,12,-0.045519,3.15959,2.32688,True,False
1d,GBPUSD,USDCHF,1,-0.045435,2.69297,2.37564,True,False
1d,GBPUSD,USDCHF,9,0.045351,2.68796,2.37564,True,False
1d,EURGBP,GBPJPY,11,0.04521,3.13812,2.32688,True,False
1d,EURGBP,EURJPY,1,-0.044966,2.55067,1.46256,True,False
1d,GBPUSD,EURUSD,6,-0.044328,2.16722,0.99802,True,False
1d,EURCHF,USDCHF,9,-0.044318,2.62674,2.37564,True,False
1d,EURGBP,AUDJPY,2,-0.0442,3.18569,2.06765,True,False
1d,USDCAD,AUDJPY,2,-0.044165,3.18318,2.06765,True,False
1d,EURJPY,GBPJPY,6,0.043854,3.04398,2.32688,True,False
1d,USDJPY,AUDJPY,12,0.043846,3.16022,2.06765,True,False
1d,GBPUSD,USDCAD,6,0.043815,1.98769,1.91662,True,False
