pair,year,median_spread_pips_in_band,hours_in_band,median_spread_pips_uncontrolled
USDCAD,2025,1.3384,625,1.3813
USDCHF,2005,1.7441,259,1.8169
USDCHF,2006,1.7439,260,1.8171
USDCHF,2007,1.5509,2180,1.8061
USDCHF,2008,1.8745,2695,2.2525
USDCHF,2009,1.7531,2822,2.0649
USDCHF,2010,1.4693,2389,1.6424
USDCHF,2011,1.5709,3018,1.8018
USDCHF,2012,1.1816,2690,1.3269
USDCHF,2013,1.1769,1881,1.2451
USDCHF,2014,0.8605,1349,0.9587
USDCHF,2015,1.3046,2131,1.5318
USDCHF,2016,1.0675,2649,1.1461
USDCHF,2017,0.9583,2018,1.033
USDCHF,2018,1.0312,2075,1.0978
USDCHF,2019,0.8947,1741,0.9775
USDCHF,2020,0.8629,2004,0.8987
USDCHF,2021,0.8747,1223,0.912
USDCHF,2022,1.3205,3195,1.3034
USDCHF,2023,0.9967,1904,0.9974
USDCHF,2024,0.8951,1613,0.9007
USDCHF,2025,0.9462,353,0.9677
USDJPY,2005,1.6831,259,1.6058
USDJPY,2006,1.6831,260,1.6059
USDJPY,2007,1.3648,2467,1.4785
USDJPY,2008,1.2424,3117,1.2842
USDJPY,2009,1.0821,2681,1.1656
USDJPY,2010,0.9358,2060,0.9549
USDJPY,2011,1.1261,820,1.1134
USDJPY,2012,0.6802,576,0.7089
USDJPY,2013,0.5759,2595,0.5563
USDJPY,2014,0.3324,1673,0.3099
USDJPY,2015,0.3487,2939,0.3575
USDJPY,2016,0.367,3708,0.3838
USDJPY,2017,0.2822,3349,0.2936
USDJPY,2018,0.3044,2753,0.3044
USDJPY,2019,0.254,2745,0.2582
USDJPY,2020,0.2886,2410,0.2901
USDJPY,2021,0.31,1556,0.3066
USDJPY,2022,0.7096,3727,0.7092
USDJPY,2023,0.587,3988,0.6188
USDJPY,2024,0.6075,4022,0.6283
USDJPY,2025,0.7547,759,0.7667
